,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Organic,Price Option 0,Price Option 1,Size,Standard Drinks,Varietal,Wine Body,Wine Style,Price Option 2,Region,State,Langtons Classified,Price Option 3,Price Option 4,Vegan Friendly,Price Option 5
96,14.00%,Jamiesons Run,Screw Cap,Australia,2009,Limestone Coast Cabernet Sauvignon 2009,,$15.99 per bottle,$91.14 per case of 6,750mL,8.3,Cabernet Sauvignon,Full Bodied,Dry,$15.19 in any six,Limestone Coast,South Australia,,,,,
97,13.0% (2012),Devil's Corner,Screw Cap,Australia,2012*,Mt Amos Pinot Noir,,$63.65 in any six,$381.90 per case of 6,750mL,7.7 (2012),Pinot Noir,Light Bodied,Dry,$66.99 per bottle,Northern Tasmania,Tasmania,,"Awards: 2 Gold - Royal Melbourne Wine Show 2013, Perth Royal Wine Show 2013","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 8 of 99 Pinot Noir from Tasmania
98,14.00%,Taylors,Screw Cap,Australia,,Estate Shiraz 2012,,$23.80 in any six,$142.80 per case of 6,750mL,8.3,Shiraz,Full Bodied,Dry,$24.99 per bottle,Clare Valley,South Australia,,Ranked 17 of 35 Shiraz from Clare Valley,,,
99,13.50%,Penfolds,Screw Cap,Australia,,Koonunga Hill Shiraz 2012,,$19.00 in any six,$114.00 per case of 6,750mL,8,Shiraz,Full Bodied,Dry,$19.99 per bottle,,South Australia,,,,,
100,13.50%,Wynns,Screw Cap,Australia,2012,The Siding Cabernet Sauvignon 2012,,$24.70 in any six,$148.20 per case of 6,750mL,8,Cabernet Sauvignon,Full Bodied,Dry,$25.99 per bottle,Coonawarra,South Australia,,Ranked 44 of 54 Cabernet Sauvignon from Coonawarra,,,
101,14.50%,Katnook Estate,Cork,Australia,,Odyssey Cabernet Sauvignon 2006 Magnum 1.5L,,$249.99 per bottle,,1.5L,17.2,Cabernet Sauvignon,Full Bodied,Dry,,Coonawarra,South Australia,,,,,
102,13.00%,Dominique Portet,Screw Cap,Australia,,Fontaine Shiraz Cabernet Merlot 2011,,,,750mL,7.7,Shiraz Cabernet Merlot,Full Bodied,Dry,,Yarra Valley,Victoria,,,,,
103,13.50%,Penfolds,Cork,Australia,,Bin 707 1999 Magnum 1.5L,,"$1,150.00 per bottle",,1.5L,16,Cabernet Sauvignon,Full Bodied,Dry,,,South Australia,,,,,
104,14.50%,d'Arenberg,Cork,Australia,,The Coppermine Road Cabernet Sauvignon 2003,,$111.99 per bottle,,750mL,8.6,Cabernet Sauvignon,Full Bodied,Dry,,McLaren Vale,South Australia,Excellent,,,,
105,13.50%,Bindi,Cork,Australia,,Original Vineyard Pinot Noir 2007,,$113.99 per bottle,,750mL,8,Pinot Noir,Light Bodied,Dry,,Macedon Ranges,Victoria,,,,,
106,14.50%,Penfolds,Screw Cap,Australia,,Bin 128 Shiraz 2013,,Ranked 8 of 20 Shiraz from Coonawarra,,750mL,8.6,Shiraz,Full Bodied,Dry,,Coonawarra,South Australia,Excellent,,,,
107,,,,,,Unknown,,,,,,,,,,,,,,,,
108,14.00%,Leasingham,Screw Cap,Australia,,Bin 61 Shiraz 2011,,$24.99 per bottle,$140.95 per case of 6,750mL,8.3,Shiraz,Full Bodied,Dry,$23.75 in any six,Clare Valley,South Australia,,,,,
109,14.00%,Henschke,Screw Cap,Australia,2004,Cyril Henschke Cabernet Sauvignon 2004,,,,750mL,8.3,Cabernet Sauvignon,Full Bodied,Dry,,Eden Valley,South Australia,Outstanding,,,,
110,14.80%,Domaine Asmara,Screw Cap,Australia,,Reserve Shiraz 2010,,,,750mL,8.8,Shiraz,Full Bodied,Dry,,Heathcote,South Australia,,,,,
111,13%,Crossroads,,Australia,2015,Talisman Cabernet Blend 2015,,$49.40 in any six,$296.40 per case of 6,750mL,7.7,Cabernet Blend,,,$51.99 per bottle,,,,,,,
112,14.5% (2009),Mitchelton,Screw Cap,Australia,2009*,Print Shiraz,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,,Shiraz,Full Bodied,Dry,,Goulburn Valley,Victoria,,,,,
113,14.5% (2002),Coriole,Cork,Australia,2002,Lloyd Reserve Shiraz 2002,,$94.99 per bottle,,750mL,8.6(2002),Shiraz,Full Bodied,Dry,,McLaren Vale,South Australia,Excellent,,,,
114,13.30%,Penfolds,Cork,Australia,1963,Grange 1963,,"$4,500.00 per bottle",,750mL,7.9,Shiraz,Full Bodied,Dry,,Barossa Valley,South Australia,Exceptional,,,,
115,14.50%,Torbreck,,Australia,2004,Descendant Shiraz Viognier 2004,,$156.99 per bottle,,750mL,8.6,Shiraz Viognier,,Dry,,Barossa Valley,South Australia,Excellent,,,,
116,14.50%,Rockford,Cork,Australia,2006,Basket Press Shiraz 2006,,$199.99 per bottle,,750mL,8.6,Shiraz,Full Bodied,Dry,,Barossa Valley,South Australia,Exceptional,,,,
117,14.50%,Torbreck,Cork,Australia,2001,RunRig Shiraz 2001,,$325.00 per bottle,,750mL,8.6,Shiraz,Full Bodied,Dry,,Barossa Valley,South Australia,Exceptional,,,,
118,14.50%,Torbreck,Cork,Australia,2002,RunRig Shiraz 2002,,$299.99 per bottle,Ranked 1 of 17 Shiraz from South Australia,750mL,8.6,Shiraz,Full Bodied,Dry,,Barossa Valley,South Australia,Exceptional,,,,
119,14.50%,Majella,Screw Cap,Australia,2004,Cabernet Sauvignon 2004,,$74.99 per bottle,,750mL,8.6,Cabernet Sauvignon,Full Bodied,Dry,,Coonawarra,South Australia,Excellent,,,,
