,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Organic,Vegan Friendly,Price Option 5
105,13.00%,Yalumba,Cask Closure,Australia,Non Vintage,Classic Dry Red Cask 2L,,,2L,21,South Australia,Red Blend,,Dry,,,,,,,true,
106,13.5% (2014),Yalumba,Cork,Australia,2014*,The Cigar Cabernet Sauvignon,$25.70 in any six,Coonawarra,750mL,8.6 (2013),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,$154.20 per case of 6,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 20 of 33 Cabernet Sauvignon from Coonawarra,,true,
107,14.50%,Brands Laira,Screw Cap,Australia,,Cabernet Merlot 2012,$23.80 in any six,Coonawarra,750mL,8.6,South Australia,Cabernet Merlot,Medium Bodied,Dry,,$142.80 per case of 6,$24.99 per bottle,,,,,
108,13.5,Epic Negociants,,Australia,,Northern Grounds Barossa Valley Shiraz 2017,$360.00 per case of 6,Barossa Valley,750mL,8.5,South Australia,shiraz,Full Bodied,Dry,,,,,,,,
109,13.4% (2012),Hopwood,Screw Cap,Australia,2012*,Charlotte's Farm Shiraz,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Big Rivers,750mL,7.9 (2012),Victoria,Shiraz,Full Bodied,Dry,,,,,,,,
110,15.00%,Wolf Blass,Screw Cap,Australia,2006,Black Label Cabernet Sauvignon Shiraz Malbec 2006,$123.50 in any six,McLaren Vale,750mL,8.9,South Australia,Cabernet Sauvignon Shiraz Malbec,,Dry,Excellent,$741.00 per case of 6,$129.99 per bottle,"Awards: Trophy Winner - Sydney Royal Wine Show 2011. 3 Gold - Sydney Royal Wine Show 2011, Perth Royal Wine Show 2010, Royal Queensland Food & Wine Show 2007",Ranked 3 of 67 Cabernet Sauvignon from South Australia,,,
111,14.00%,Brand's Laira Foundation,Screw Cap,Australia,,Shiraz 2010,$24.99 per bottle,Coonawarra,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,$142.80 per case of 6,$23.80 in any six,,,,,
112,12.5%,El Desperado,Screw Cap,Australia,2017*,Rosé,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.4,South Australia,"Tempranillo, Sangiovese",,,,,,,,,,
113,14.5% (2014),Cleanskin,Screw Cap,Australia,2014*,GR10 Heathcote Shiraz,$8.99 per bottle,Heathcote,750mL,8.6 (2014),Victoria,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
114,14.5,Warner Glen Estate,Screw Cap,Australia,,Cabernet Sauvignon,$20.00 per bottle,Margaret River,750ml,8.6,,Cabernet Sauvignon,,,,$239.95 per case of 12,,,,,,
115,14.00%,Taylors,Screw Cap,Australia,,Estate Jaraman Shiraz 2012,$32.30 in any six,Clare Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,$193.80 per case of 6,$33.99 per bottle,Ranked 107 of 448 Shiraz from South Australia,,,,
116,14.50%,Heathcote Estate,Screw Cap,Australia,,Shiraz 2010,$55.09 in any six,Heathcote,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,,$330.54 per case of 6,$57.99 per bottle,Ranked 10 of 40 Shiraz from Heathcote,,,,
117,14.00%,Penfolds,Screw Cap,Australia,2009,Bin 128 Shiraz 2009,$50.40 in any six,Coonawarra,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Excellent,$302.40 per case of 6,$52.99 per bottle,Ranked 4 of 20 Shiraz from Coonawarra,,,,
118,14.00%,Penfolds,Screw Cap,Australia,2009,Bin 128 Shiraz 2009,$50.40 in any six,Coonawarra,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Excellent,$302.40 per case of 6,$52.99 per bottle,Ranked 4 of 20 Shiraz from Coonawarra,,,,
119,14%,Cherry Tree Hill,Screw Cap,Australia,2009*,Cabernet Merlot,$20.90 in any six,,750mL,8.5,,Cabernet Sauvignon Merlot,Medium Bodied,,,$250.80 per case of 12,$21.99 per bottle,Awards: Bronze - 2011 Sydney Royal Wine Show,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Ranked 111 of 137 Cabernet Sauvignon from Australia
