,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,State,Varietal,Vegan Friendly,Wine Body,Wine Style,Current Vintage,Price Option 2,Langtons Classified,Price Option 3,Price Option 4,Price Option 5,Organic
102,14.5% (2014),Taltarni,Cork,Australia,Pyrenees Shiraz,$30.40 in any six,$182.40 per case of 6,Pyrenees,750mL,8.6 (2014),Victoria,Shiraz,,Full Bodied,Dry,2014*,$31.99 per bottle,,"Awards: 3 Gold Medals - Royal Perth Wine Show 2015, Victorian Wine Show 2015, Royal Adelaide Wine Show 2015","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 2 of 16 Shiraz from Pyrenees,
103,14.5% (2012),Peter Lehmann,Screw Cap,Australia,The Clare Project Single Vineyard Shiraz Blend,$18.99 per bottle,$108.30 per case of 6,Clare Valley,750mL,8.6 (2012),South Australia,Red Blend,,,Dry,2012*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur",,,,,
104,14.0% (Non Vintage),Food Truck,Screw Cap,Australia,Shiraz,$7.88 in any six,$47.28 per case of 6,,750mL,8.3 (Non Vintage),South Australia,Shiraz,,Full Bodied,Dry,Non Vintage*,$7.88 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
105,14.50%,Chapel Hill,Screw Cap,Australia,The Vicar Shiraz 2010,$85.49 in any six,$512.94 per case of 6,McLaren Vale,750mL,8.6,South Australia,Shiraz,,Full Bodied,Dry,,$89.99 per bottle,,Ranked 54 of 136 Shiraz from McLaren Vale,,,
106,13.7% (2014),Skillogalee,Screw Cap,Australia,Shiraz,$17.88 in any six,$214.56 per case of 12,Clare Valley,750mL,8.1 (2014),South Australia,Shiraz,,Full Bodied,Dry,2014*,$17.88 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
107,14.60%,Brands Laira,Screw Cap,Australia,Blockers Cabernet Sauvignon 2010,$29.99 per bottle,$170.94 per case of 6,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,,Full Bodied,Dry,,$28.49 in any six,,"Awards: Double Gold Medal - Cairns Show Wine Awards 2013. 2 Gold medal - Rutherglen Wine Show 2011, Royal Queensland Wine Show 2011",,,
108,14.5,Wirra Wirra,Screw Cap,Australia,Church Block Cabernet Blend 2012,$28.50 in any six,$171.00 per case of 6,McLaren Vale,750mL,8.6,South Australia,Cabernet Blend,,Full Bodied,Dry,,$29.99 per bottle,,Ranked 20 of 21 Cabernet Sauvignon from Fleurieu,,,
109,12.5,Baily & Baily,Screw Cap,Australia,Tickety-Boo Rosé,$6.95 in any six,$41.70 per case of 6,,750mL,7.4,,,,Light Bodied,Dry,2018*,$6.95 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
110,13.0% (2015),St Hallett,Screw Cap,Australia,Wyncroft Single Vineyard Shiraz,$16.90 per bottle,$96.60 per case of 6,Eden Valley,750mL,7.7 (2014),South Australia,Shiraz,,Full Bodied,Dry,2015*,$16.10 in any six,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
111,14.00%,Evans & Tate,Screw Cap,Australia,Redbrook Shiraz 2011,$38.99 per bottle,$222.60 per case of 6,Margaret River,750mL,8.3,Western Australia,Shiraz,,Full Bodied,Dry,,$37.10 in any six,,Ranked 14 of 35 Shiraz from Margaret River,,,
112,13.0% (2014),Hardys,Screw Cap,Australia,Eileen Hardy Pinot Noir,$66.40 in any six,$398.40 per case of 6,,750mL,7.7 (2014),Tasmania,Pinot Noir,,Light Bodied,Dry,2014*,$69.90 per bottle,,Awards: Gold Medal - Decanter World Wine Awards 2016 and Royal Adelaide Wine Show 2016 and Royal Hobart Wine Show 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 25 of 301 Pinot Noir from Australia,
113,14.5% (2013),Peter Lehmann,Screw Cap,Australia,Lot #2 Stonewell Road Shiraz,$31.35 in any six,$188.10 per case of 6,Barossa Valley,750mL,8.6 (2013),South Australia,Shiraz,,Full Bodied,Dry,2013*,$32.99 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
114,14.5% (2010),AC/DC,Screw Cap,Australia,Platinum Shiraz,$29.90 in any six,$179.40 per case of 6,Barossa Valley,750mL,8.6 (2010),South Australia,Shiraz,,Full Bodied,Dry,2010*,$29.90 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
115,14.50%,Reynella,Screw Cap,Australia,Basket Pressed Shiraz 2008,$59.99 per bottle,$341.94 per case of 6,McLaren Vale,750mL,8.6,South Australia,Shiraz,,Full Bodied,Dry,,$56.99 in any six,,Ranked 13 of 92 Shiraz from McLaren Vale,,,
116,13.5% (2014),Eden Road,Screw Cap,Australia,The Tumblong Small Batch Syrah,$29.99 per bottle,$170.94 per case of 6,Gundagai,750mL,8.0 (2014),New South Wales,Shiraz,,Full Bodied,Dry,2014*,$28.49 in any six,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur",,,
117,10.5% (Non Vintage),Banrock Station,Screw Cap,Australia,Fruit Fusion Red With Raspberry & Blackcurrant,$8.55 in any six,$51.30 per case of 6,,750mL,6.2 (Non Vintage),,Fruit Wine,,,Dry,Non Vintage*,$8.99 per bottle,,,,,
118,13.5% (2013),Eden Road,Screw Cap,Australia,The Barton Small Batch Syrah,$13.88 in any six,$83.28 per case of 6,,750mL,8.0 (2013),New South Wales,Shiraz,,Full Bodied,Dry,2013*,$13.88 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur",,,
119,14.5%,GR16,,Australia,Heathcote Shiraz 2016,$7.60 in any six,$45.60 per case of 6,,750mL,8.6,,Shiraz,,,Dry,2016,$7.99 per bottle,,,,,
