,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 3,Price Option 4,Price Option 5,Langtons Classified,Wine Body,Organic,Vegan Friendly
100,13.0% (2014),Audrey Wilkinson,Screw Cap,Australia,2014*,The Oakdale Chardonnay,$23.88 in any six,$143.28 per case of 6,$23.88 per bottle,Hunter Valley,750mL,7.7 (2014),New South Wales,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
101,13.0% (2011),Stockman's Ridge,Screw Cap,Australia,2011*,Rider Pinot Gris,$21.90 in any six,$262.80 per case of 6,$22.99 per bottle,Orange,750mL,7.7 (2011),New South Wales,Pinot Gris,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
102,13.4% (2012),Sorrenberg,Cork,Australia,2012*,Chardonnay,$50.35 in any six,$604.20 per case of 12,$52.99 per bottle,Beechworth,750mL,7.9 (2012),Victoria,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
103,11.5% (2011),Paul Conti,Screw Cap,Australia,2011*,Fronti,$9.88 in any six,$118.56 per case of 12,$9.88 per bottle,Perth Hills,750mL,6.8 (2011),Western Australia,Frontignac,Sweet,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
104,12.0%,The Remarkable State,Screw Cap,Australia,2016*,Proclamation Southern Fleurieu Chardonnay 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Southern Fleurieu,750mL,7.1,South Australia,Chardonnay,Dry,,,,,,,
105,13.5% (2016),Food Truck,Screw Cap,Australia,2016*,Chardonnay,$7.88 in any six,$47.28 per case of 6,$7.88 per bottle,,750mL,8 (2016),South Australia,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
106,12.50%,Tahbilk,Screw Cap,Australia,,Marsanne 2010,$16.99 per bottle,$96.90 per case of 6,$16.15 in any six,Goulburn Valley,750mL,7.4,Victoria,Marsanne,Dry,,,,,,,
107,13.0%(2014),Penfolds,Screw Cap,Australia,2014*,Bin 311 Chardonnay 2014,$37.10 in any six,$222.60 per case of 6,$38.99 per bottle,Tumbarumba,750mL,7.0 (2014),South Australia,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 20 of 66 Chardonnay from New South Wales,,,,,
108,13.0%(2014),Penfolds,Screw Cap,Australia,2014*,Bin 311 Chardonnay 2014,$37.10 in any six,$222.60 per case of 6,$38.99 per bottle,Tumbarumba,750mL,7.0 (2014),South Australia,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 20 of 66 Chardonnay from New South Wales,,,,,
109,12.5% (2013),Annie's Lane,Screw Cap,Australia,2013*,Semillon Sauvignon Blanc,$9.90 in any six,$59.40 per case of 6,$10.40 per bottle,Clare Valley,750mL,7.4 (2013),South Australia,Semillon Sauvignon Blanc,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
110,12.0% (2012),Cullen,Screw Cap,Australia,2012*,White,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Margaret River,750mL,7.1 (2012),Western Australia,Sauvignon Blanc Semillon Chardonnay,Dry,,,,,,true,
111,13.5% (2011),Rosily Vineyard,Screw Cap,Australia,2011*,Chardonnay,$16.88 in any six,$202.56 per case of 12,$16.88 per bottle,Margaret River,750mL,8 (2011),Western Australia,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 58 of 76 Chardonnay from Margaret River,,,,,
112,13.5% (2011),Rosily Vineyard,Screw Cap,Australia,2011*,Chardonnay,$16.88 in any six,$202.56 per case of 12,$16.88 per bottle,Margaret River,750mL,8 (2011),Western Australia,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 58 of 76 Chardonnay from Margaret River,,,,,
113,14.00%,Leeuwin Estate,Cork,Australia,2003,Art Series Chardonnay 2003,$133.00 in any six,"$1,596.00 per case of 12",$139.99 per bottle,Margaret River,750mL,8.3,Western Australia,Chardonnay,Dry,,,,Exceptional,,,
114,12.0% (2015),Sandalford,Screw Cap,Australia,2015*,Classic Dry White,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 6 of 17 Sémillon from Margaret River,,Margaret River,750mL,7.1 (2015),Western Australia,Semillon Sauvignon Blanc,Dry,,,,,,,
115,12.0% (2015),Sandalford,Screw Cap,Australia,2015*,Classic Dry White,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 6 of 17 Sémillon from Margaret River,,Margaret River,750mL,7.1 (2015),Western Australia,Semillon Sauvignon Blanc,Dry,,,,,,,
116,42857.6229447917,Xanadu,,Australia,,Next of Kin Mixed Six Pack,$83.94 per bottle,,,Margaret River,B,,FRE,,,,,,,Full Bodied,,
117,13.0,Peccavi,Screw Cap,Australia,Screw Cap,Sauvignon Blanc Semillon 2014,$42.00 per bottle,$252.00 per case of 6,Dry White,Margaret River,750mL,7.0,FRE,Sauvignon Blanc Semi,Dry,,,,,,,
118,13.5%,Cat Amongst The Pigeons,Screw Cap,Australia,2018,Chardonnay 375mL,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Eden Valley,375mL,4,South Australia,Chardonnay,,,,,,,,
119,13.00%,Leo Buring,Screw Cap,Australia,2004,Eden Valley Riesling 2004,$16.90 in any six,$100.99 per case of 6,$17.90 per bottle,Eden Valley,750mL,7.7,South Australia,Riesling,Dry,,,,,,,
