,Alcohol Volume,Brand Name,Country,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Closure,Current Vintage,Price Option 3,Wine Body,Wine Style,Price Option 4,Price Option 5,Langtons Classified,Vegan Friendly,Organic
82,14.5%,Taylors,Australia,St Andrews Cabernet Sauvignon,$54.90 in any six,$329.40 per case of 6,$57.80 per bottle,Clare Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Screw Cap,2015*,"Awards: Trophy - Clare Valley Regional Wine Show 2014. Double Gold - Tasters Guild International Wine Competition 2015. 7 Gold Medals - Clare Valley Reginal Wine Show 2014, Concours International Des Cabernets 2015, AWC International Wine Challenge 2015, Catania",Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 1 of 17 Cabernet Sauvignon from Clare Valley,,,
83,14.5%,Eden Hall,Australia,Cabernet Sauvignon,$37.99 in any six,$227.94 per case of 6,$39.99 per bottle,Barossa Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Screw Cap,2013*,Awards: Gold Medal - Royal Perth Wine Show 2016,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
84,14.5%,Hardys,Australia,Tintara Shiraz,$17.95 in any six,$107.70 per case of 6,$17.95 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz,Screw Cap,2016*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
85,14.5% (2012),Wolf Blass,Australia,The Master Cabernet Shiraz,$350.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 2 of 21 Cabernet Sauvignon from Fleurieu,Langhorne Creek,750mL,8.6 (2012),South Australia,Cabernet Shiraz,Screw Cap,2012*,,Full Bodied,Dry,,,,,
86,14.5% (2012),Geoff Merrill,Australia,Bush Vine Grenache Rosé,$18.99 in any six,$227.88 per case of 12,$19.99 per bottle,McLaren Vale,750mL,8.6 (2012),South Australia,Grenache,Screw Cap,2012*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Light Bodied,Dry,Ranked 23 of 27 Grenache from McLaren Vale,,,,
87,13.5%,Watercolour,Australia,Cabernet Merlot,$4.75 in any six,$28.50 per case of 6,$4.99 per bottle,,750mL,8.0,,Cabernet Merlot,Screw Cap,2017*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Medium Bodied,Dry,,,,,
88,14.5%,Bethany,Australia,Old Vine Grenache,$19.99 per bottle,$114.00 per case of 6,$19.00 in any six,Barossa Valley,750mL,8.6,South Australia,Grenache,Screw Cap,2017*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Medium Bodied,Dry,,,,,
89,14.5%,Magic Box,Australia,The Cedarbox Cabernet Sauvignon,$10.90 in any six,$65.40 per case of 6,$11.50 per bottle,South East Australia,750mL,8.3,South Australia,Cabernet,Screw Cap,2018,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,,
90,14.5%,McGuigan,Australia,The Founders Shiraz,$13.20 in any six,$79.20 per case of 6,$13.90 per bottle,Barossa Valley,750mL,8.6,South Australia,Shiraz,Screw Cap,2015*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
91,14.5% (2013),Shingleback,Australia,D Block Reserve Shiraz,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,McLaren Vale,750mL,8.6 (2013),South Australia,Shiraz,Cork,2012*,"Awards: Double Gold - 2015 China Wine & Spirits Awards, Hong Kong Gold Medal - 2015 Berlin Wine Trophy, Germany Haliday - 93, Gold Medal - 2016 International Wine Challenge, UK, Blue Gold - Sydney International Wine Competition 2013",Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 17 of 143 Shiraz from McLaren Vale,,,
92,14.0% (2010),Howard Park,Australia,Leston Cabernet Sauvignon,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,Margaret River,750mL,8.3 (2010),Western Australia,Cabernet Sauvignon,Screw Cap,2010*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,Ranked 19 of 62 Cabernet Sauvignon from Margaret River,,,,
93,14.5%,Blue Pyrenees,Australia,Shiraz,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,Pyrenees,750mL,8.6,Victoria,Shiraz,Screw Cap,2015*,Awards: Double Gold- Melbourne International Wine competition 2018,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 23 of 24 Shiraz from Western Victoria,,,
94,14.0%,Trentham Estate,Australia,Merlot,$14.25 in any six,$171.00 per case of 12,$14.99 per bottle,Murray Darling,750mL,8.3,New South Wales,Merlot,Screw Cap,2016*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Medium Bodied,Dry,Ranked 18 of 35 Merlot from Australia,,,,
95,13.5%,Austins & Co.,Australia,Pinot Noir,$29.99 per bottle,$171.00 per case of 6,$28.49 in any six,Geelong,750mL,8.0,Victoria,Pinot Noir,Screw Cap,2016*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Light Bodied,Dry,Ranked 17 of 21 Pinot Noir from Geelong,,,,
96,14%,S.C. Pannell,Australia,Dead End Tempranillo,$29.99 per bottle,$359.88 per case of 12,,McLaren Vale,750 ml,8.3,South Australia,Tempranillo,Screw Cap,,,Medium Bodied,Dry,,,,,
97,13.5% (2011),The Point,Australia,Shiraz,$9.49 in any six,$56.94 per case of 6,$9.99 per bottle,Margaret River,750mL,8.0 (2011),Western Australia,Shiraz,Screw Cap,2011*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
98,14.8,Towerhill,Australia,Cabernet Merlot 2011,$28.00 per bottle,$168.00 per case of 6,Ranked 28 of 49 Cabernet Sauvignon from South West Australia,Western Australia,750mL,8.8,Western Australia,Cabernet Merlot,Screw Cap,2011,,Medium Bodied,Cabernet Merlot,,,,,
99,14.5%,Kellermeister,Australia,Funk Wagon GSM 2014,$28.50 per bottle,$168.00 per case of 6,"Awards: Bronze Barossa Wine Show 2016, Bronze Royal Adelaide Wine Show 2016",Barossa,750mL,8.6,,Grenache Shiraz Mata,Screw Cap,2014,,,,,,,,
100,14.3,Towerhill,Australia,Cabernet Merlot 2010,$28.00 per bottle,$168.00 per case of 6,,Western Australia,750mL,8.4,Western Australia,Cabernet Merlot,Screw Cap,2010,,Medium Bodied,Dry,,,,,
101,15.5%,Glaetzer,Australia,Anaperenna Shiraz Cabernet,$47.49 in any six,$284.94 per case of 6,$49.99 per bottle,Barossa Valley,750mL,9.2,South Australia,Shiraz Cabernet,Screw Cap,2016*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,Ranked 2 of 15 Shiraz from Barossa Valley,,,,
102,14.5,Cleanskin,Australia,No 55 Langhorne Creek Shiraz Cabernet,$7.59 in any six,$45.54 per case of 6,$7.99 per bottle,,750mL,8.6,South Australia,Shiraz Cabernet,Screw Cap,2015,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
103,13.5%,Cockatoo Ridge,Australia,Cabernet Sauvignon 1L,$9.49 in any six,$56.94 per case of 6,$9.99 per bottle,,1L,10.6,South Australia,Cabernet Sauvignon,Screw Cap,2017*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
104,14%,Two Rivers,Australia,Rocky Crossing Cabernet  Sauvignon,$13.29 in any six,$79.80 per case of 6,$13.99 per bottle,Hunter Valley,750mL,8.3,New South Wales,Cabernet Sauvignon,Screw Cap,2016*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
105,14%,Pikes,Australia,Eastside Shiraz,$23.75 in any six,$142.50 per case of 6,$24.99 per bottle,Clare Valley,750mL,8.3,South Australia,Shiraz,Screw Cap,2015*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,Ranked 9 of 24 Shiraz from Clare Valley,,,,
106,14.5%,Baily & Baily,Australia,Venture Series Shiraz,$9.50 in any six,$57.00 per case of 6,$9.99 per bottle,Barossa Valley,750mL,8.6,South Australia,Shiraz,Screw Cap,2017*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
107,14% (2017),Nature's Harvest,Australia,Shiraz,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,,750mL,8.3 (2017),,Shiraz,Screw Cap,2017*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,true
108,14%,Jim Barry,Australia,Jim's Garden Coonawarra Cabernet Sauvignon,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Screw Cap,2016,,,,,,,,
109,13.5%,Swan Bay,Australia,Pinot Noir,$18.10 in any six,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0,Victoria,Pinot Noir,Screw Cap,2016*,,Light Bodied,Dry,,,,,
110,15.0% (2014),Smidge,Australia,Ging McLaren Vale Shiraz,$27.60 in any six,$165.60 per case of 6,$28.99 per bottle,McLaren Vale,750mL,8.9 (2014),South Australia,Shiraz,Screw Cap,2014*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
111,14.2%,Redman,Australia,Cabernet Sauvignon,$27.55 in any six,$165.30 per case of 6,$28.99 per bottle,Coonawarra,750mL,8.4,South Australia,Cabernet Sauvignon,Cork,2015*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,Ranked 9 of 30 Cabernet Sauvignon from Coonawarra,,,,
112,14.0%,McGuigan,Australia,The Founders Cabernet Sauvignon,$13.20 in any six,$79.20 per case of 6,$13.90 per bottle,McLaren Vale,750mL,8.3,South Australia,Cabernet Sauvignon,Screw Cap,2015*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
113,13.0%,Port Phillip Estate,Australia,Pinot Noir,$36.10 in any six,$216.60 per case of 6,$37.99 per bottle,Mornington Peninsula,750mL,7.7,Victoria,Pinot Noir,Cork,2016*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Light Bodied,Dry,,,,,
114,14%,Brand's Laira,Australia,Blockers Shiraz,$18.90 in any six,$113.40 per case of 6,$19.90 per bottle,,750mL,8.3,,Shiraz,Screw Cap,2014*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
115,15%,Bremerton,Australia,Old Adam Shiraz,$53.19 in any six,$319.14 per case of 6,$55.99 per bottle,Langhorne Creek,750mL,8.9,South Australia,Shiraz,Cork,2014*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,Ranked 10 of 132 Shiraz from Fleurieu,,,,
116,13.5%,McGuigan,Australia,The Brothers Cabernet Sauvignon,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,,750mL,8.0,South Australia,Cabernet Sauvignon,Screw Cap,2017*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
117,12.5%,Blue Pyrenees,Australia,Nebbiolo,$19.00 in any six,$112.80 per case of 6,$19.99 per bottle,Pyrenees,750mL,7.4,Victoria,Nebbiolo,Screw Cap,2017*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
118,15.00%,Cleanskin,Australia,No 17 Dolce Syrah NV,$6.65 in any six,$39.90 per case of 6,$6.99 per bottle,,750mL,8.9,South Australia,Red Blend,Screw Cap,Non Vintage,,,Dry,,,,,
119,13.50%,Mount Mary,Australia,Quintet 2010,$159.99 per bottle,Ranked 2 of 15 Cabernet Sauvignon from Port Phillip,,Yarra Valley,750mL,8,Victoria,Cabernet Blends,Cork,2010,,,Dry,,,Exceptional,,
