,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Price Option 5,Organic,Langtons Classified,Vegan Friendly
94,13.5%,Goldman WInes,Screw Cap,Australia,,2015 Alpine Valleys Shiraz,$34.99 per bottle,$150.00 per pack of 6,"Awards: Gold Medal, North East Victorian Wine Challenge 2016
94 Points - Halliday Wine Companion 2018
92 Points - The Wine Front 2018
4 Stars Winestate 2018",,Alpine Valleys,750mL,8.0,Victoria,Shiraz,Full Bodied,Dry,,,,,
95,13.50%,Bendbrook,Screw Cap,Australia,,SL Cabernet Sauvignon 2017 750mL,$23.99 per bottle,$273.60 per case of 12,,,Adelaide Hills,750mL,8,South Australia,Cabernet Sauvignon,Medium Bodied,Dry,,,,,
96,14.5%,Pindarie,Screw Cap,Australia,2017,T.S.S. Temp Sang Shiraz Blend 2017,$25.00 per bottle,$150.00 per case of 6,Awards: 2016 Vintage - GOLD Medal 2017 Australian Alternative Varieties Wine Show. 94 Points James Halliday Wine Companion.,,Barossa Valley,750mL,8.6,South Australia,Tempranillo Sangiovese Shiraz,Medium Bodied,Dry,,,,,
97,14.5%,Pindarie,Screw Cap,Australia,2017,T.S.S. Temp Sang Shiraz Blend 2017,$25.00 per bottle,$150.00 per case of 6,Awards: 2016 Vintage - GOLD Medal 2017 Australian Alternative Varieties Wine Show. 94 Points James Halliday Wine Companion.,,Barossa Valley,750mL,8.6,South Australia,Tempranillo Sangiovese Shiraz,Medium Bodied,Dry,,,,,
98,13.5%,Artiste,Screw Cap,Australia,,Cabernet Sauvignon,$24.00 per bottle,$110.00 per case of 6,,,Eden Valley,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
99,13.5%,Artiste,Screw Cap,Australia,,Cabernet Sauvignon,$24.00 per bottle,$110.00 per case of 6,,,Eden Valley,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
100,12.5%,Riverbank Estate,Screw Cap,Australia,,REBELLIOUS - Rose 2017,$25.00 per bottle,$300.00 per case of 12,"Awards: Silver - Singapore Airlines Swan Valley Wine Show 2017
Bronze - Blackwood Valley WA Boutique Wine Show 2017",,Swan Valley,750,7.4,Western Australia,"Shiraz, Melbec, Tempranillo, Grenache",Light Bodied,Semi Dry,,,,,
101,12.5%,Riverbank Estate,Screw Cap,Australia,,REBELLIOUS - Rose 2017,$25.00 per bottle,$300.00 per case of 12,"Awards: Silver - Singapore Airlines Swan Valley Wine Show 2017
Bronze - Blackwood Valley WA Boutique Wine Show 2017",,Swan Valley,750,7.4,Western Australia,"Shiraz, Melbec, Tempranillo, Grenache",Light Bodied,Semi Dry,,,,,
102,15%,Southern Vales,Screw Cap,Australia,,Mclaren Vale Shiraz 2016,$38.00 per bottle,$228.00 per case of 6,,,McLaren Vale,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,,,
103,15%,Southern Vales,Screw Cap,Australia,,Mclaren Vale Shiraz 2016,$38.00 per bottle,$228.00 per case of 6,,,McLaren Vale,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,,,
104,14%,Curtis Cavaliere,Cork,Australia,,McLaren Vale GSM 2016,$61.00 per bottle,$601.00 per case of 12,Awards: 95 Points - Wine Orbit Sam Kim,,McLaren Vale,750mL,8.3,South Australia,Grenache Shiraz Mouvedre,Full Bodied,Dry,,,,,
105,15.5,Grove Estate,Screw Cap,Australia,,Hilltops Zinfandel,$20.00 per bottle,$120.00 per case of 6,,,Hilltops,750ml,9.2,New South Wales,Zinfandel,Full Bodied,Dry,,,,,
106,16,Penley Estate,Screw Cap,Australia,,Rosebury Shiraz 2014,$44.99 per bottle,$269.94 per case of 6,,,Coonawarra,750mL,9.4,,Shiraz,,,,,,,
107,16,Penley Estate,Screw Cap,Australia,,Rosebury Shiraz 2014,$44.99 per bottle,$269.94 per case of 6,,,Coonawarra,750mL,9.4,,Shiraz,,,,,,,
108,12.8%,Lobethal Road,Screw Cap,Australia,,Rose 2018 750mL,$24.95 per bottle,$299.40 per case of 12,,,Adelaide Hills,750mL,7.6,South Australia,Rose,Light Bodied,Dry,,,,,
109,12.8%,Lobethal Road,Screw Cap,Australia,,Rose 2018 750mL,$24.95 per bottle,$299.40 per case of 12,,,Adelaide Hills,750mL,7.6,South Australia,Rose,Light Bodied,Dry,,,,,
110,13.5%,Sans Pareil Estate,Screw Cap,Australia,,Black Label Reserve Cabernet Sauvignon,$14.99 per bottle,$179.88 per case of 12,Awards: CWSA - China Wine & Spirits Awards 2018,,,750mL,8.4,New South Wales,Cabernet Sauvignon,,,,,,,
111,13.5%,Cosmo Wines,Screw Cap,Australia,,Heathcote Shiraz 2014,$35.00 per bottle,$180.00 per case of 6,,,Heathcote,750mL,8.0,Victoria,Shiraz,Medium Bodied,Dry,,,,,
112,16%,Freeman & Lane,,Australia,,Mt Lofty Central Ranges Merlot Petit Verdot,$15.00 per bottle,$88.00 per case of 6,,,Mt Lofty Ranges,750mL,9.48,South Australia,Merlot & Petit Verdot,Full Bodied,Dry,,,,,
113,14%,Cornella Ridge Estate,Screw Cap,Australia,,2012 Heathcote Shiraz,$14.95 per bottle,$119.95 per case of 12,,,Heathcote,750mL,8.3,Victoria,Shiraz,Medium Bodied,Dry,,,,,true
114,14%,Gapsted Wines,Screw Cap,Australia,,Tobacco Road Pinot Noir,$14.99 per bottle,$150.00 per case of 12,"Awards: Silver Award, Rutherglen Wine Show, 2018",,King Valley,750mL,8.3,Victoria,Pinot Noir,,,,,,,
115,14.0,Gapsted Wines,Screw Cap,Australia,Screw Cap,Tobacco Road Shiraz,$14.99 per bottle,$150.00 per case of 6,Dry Red,,South Eastern Australia,750ml,8.3,Victoria,Shiraz,Full Bodied,Shiraz,,,,,
116,14.50%,Penley Estate,Cork,Australia,,Reserve Cabernet Sauvignon 2010,$56.10 in any six,$336.60 per case of 6,$58.99 per bottle,Awards: Blue-Gold & Top 100 - Sydney International Wine Competition Gold - The TEXSOM International Wine Awards Gold - International Wine Challenge Silver - International Wine & Spirit Competition,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 34 of 49 Cabernet Sauvignon from Coonawarra,,,,
117,14.00%,Barossa Valley Estate,Cork,Australia,2000,E & E Black Pepper Shiraz 2000,$141.99 per bottle,,,,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,Outstanding,
118,14.6%,Yering Station,,Australia,2015,Cabernet Sauvignon,$114.00 in any six,$684.00 per case of 6,$119.99 per bottle,,Yarra Valley,750mL,8.6,Victoria,Cabernet Sauvignon,,,,,,,
119,13.50%,Wantirna Estate,Cork,Australia,2013*,Lily Pinot Noir,$66.50 in any six,$798.00 per case of 12,$69.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8,Victoria,Pinot Noir,Light Bodied,Dry,Ranked 19 of 85 Pinot Noir from Yarra Valley,,,,
