,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 3,Langtons Classified,Price Option 4,Wine Body,Price Option 5,Organic,Vegan Friendly
103,13.0% (2015),Wynns,Screw Cap,Australia,2015*,Chardonnay,$14.88 in any six,$89.28 per case of 6,$14.88 per bottle,Coonawarra,750mL,7.7 (2015),South Australia,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 2 of 15 Chardonnay from Limestone Coast,,,,
104,,By Farr,Cork,Australia,2009*,Viognier,$50.35 in any six,$298.89 per case of 6,$52.99 per bottle,Geelong,750mL,,Victoria,Viognier,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 1 of 15 Viognier from Victoria,,,,
105,12.5% (2011),Shadowfax,Screw Cap,Australia,2011*,Pinot Gris,$18.99 in any six,$225.49 per case of 12,$19.99 per bottle,Adelaide Hills,750mL,7.4 (2011),Victoria,Pinot Gris,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
106,13.5% (2008),Pirie,Screw Cap,Australia,2008*,South Chardonnay,$19.95 in any six,$239.40 per case of 12,$20.99 per bottle,,750mL,8 (2008),Tasmania,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
107,13.0% (2006),Clyde Park,Screw Cap,Australia,2006*,Reserve Chardonnay,$47.90 in any six,$287.40 per case of 6,$35.90 per bottle,Geelong,750mL,7.7,Victoria,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
108,12.0% (2012),Tin Shed,Screw Cap,Australia,2012*,Wild Bunch Riesling,$15.90 in any six,$214.25 per case of 6,$15.90 per bottle,Eden Valley,750mL,7.1 (2012),South Australia,Riesling,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
109,14.5% (2007),Leeuwin Estate,Cork,Australia,2007*,Art Series Chardonnay Magnum 1.5L,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Margaret River,1.5L,17.2 (2007),Western Australia,Chardonnay,Dry,,Exceptional,,,,,
110,11.5% (2014),Peter Lehmann,Screw Cap,Australia,2014*,Classic Chardonnay,$7.00 in any six,$42.00 per case of 6,$7.00 per bottle,Barossa Valley,750mL,6.8 (2014),South Australia,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
111,11.5% (2015),Peter Lehmann,Screw Cap,Australia,2015*,Classic Riesling,$7.00 per bottle,$42.00 per case of 6,$7.00 in any six,Barossa Valley,750mL,6.8 (2015),South Australia,Riesling,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
112,13.50% (2016),Clonakilla,Screw Cap,Australia,2016*,Viognier,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,Canberra District,750mL,8.0 (2016),Australian Capital Territory,Viognier,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 12 of 27 Viognier from Australia,,,,
113,8,Sweet Lips,Screw Cap,Australia,Non Vintage,Mango Ginger & Lemongrass,$4.70 in any six,$28.20 per case of 6,$4.90 per bottle,,750mL,4.7,,Moscato,,,,,,,,
114,11.0% (2016),Orlando,Screw Cap,Australia,2016*,St Helga Riesling,$11.88 in any six,$11.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,750mL,6.5 (2016),South Australia,Riesling,Dry,,,,,,,
115,13.0% (2015),Sinapius,Screw Cap,Australia,2015*,Home Vineyard Chardonnay,$46.60 in any six,$559.20 per case of 12,$48.99 per bottle,,750mL,7.7 (2015),Tasmania,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 17 of 39 Chardonnay from Tasmania,,,,
116,12.5% (2015),Pacha Mama,Screw Cap,Australia,2015*,Riesling,$20.00 in any six,$240.00 per case of 12,$20.99 per bottle,Central Victoria,750mL,7.4 (2015),Victoria,Riesling,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
117,11.5% (2016),Clare Wine Co,Screw Cap,Australia,2016*,Watervale Riesling,$17.10 in any six,$205.20 per case of 12,$17.99 per bottle,Clare Valley,750mL,6.8 (2016),South Australia,Riesling,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
118,12.4% (2015),Spring Vale,Screw Cap,Australia,2015*,Chardonnay,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,,750mL,7.3 (2015),Tasmania,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
119,12.5% (2015),Santolin,Screw Cap,Australia,2015*,Sauvignon Blanc,$26.60 in any six,$319.20 per case of 12,$27.99 per bottle,Yarra Valley,750mL,7.4 (2015),Victoria,Sauvignon Blanc,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
