,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,State,Varietal,Vegan Friendly,Wine Body,Wine Style,Price Option 2,Current Vintage,Price Option 3,Price Option 4,Langtons Classified,Price Option 5,Organic
96,13.00%,Grosset,Screw Cap,Australia,Polish Hill Riesling 2007,$69.99 per bottle,Ranked 3 of 39 Riesling from Clare Valley,Clare Valley,750mL,7.7,South Australia,Riesling,,,Dry,,2007,,,Exceptional,,
97,12.00%,Renmano,Cask Closure,Australia,Colombard Chardonnay Cask 2L,,,,2L,19,South Australia,Colombard Semillon Chardonnay,,,Dry,,Non Vintage,,,,,
98,10.5% (2012),Tolley,Screw Cap,Australia,Musica Riesling,$3.88 in any six,$23.28 per case of 6,Eden Valley,750mL,6.2 (2012),South Australia,Riesling,,,Dry,$3.88 per bottle,2012*,"Awards: 2 Gold - Rutherglen Wine Show 2012, Royal Hobart Wine Show 2012","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
99,12.50%,Penfolds,Screw Cap,Australia,Yattarna Chardonnay 2013,$122.60 in any six,$735.60 per case of 6,Adelaide Hills,750mL,7.4,South Australia,Chardonnay,,,Dry,$129.00 per bottle,,Awards: Trophy - Decanter World Wine Awards 2012,Ranked 108 of 482 Chardonnay from Australia,,,
100,12.5% (2014),Penfolds,Screw Cap,Australia,Bin A Chardonnay 2014,$104.50 in any six,$627.00 per case of 6,Adelaide Hills,750mL,7.4 (2014),South Australia,Chardonnay,,,Dry,$110.00 per bottle,2014*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 8 of 29 Chardonnay from Adelaide Hills,,,
101,13.50%,Tahbilk,Screw Cap,Australia,Marsanne 2009,$15.19 in any six,$91.14 per case of 6,Goulburn Valley,750mL,8,Victoria,Marsanne,,,Dry,$15.99 per bottle,,,,,,
102,12.50%,Penfolds,Screw Cap,Australia,Reserve Bin A Chardonnay 2008,$104.50 in any six,$627.00 per case of 6,Adelaide Hills,750mL,7.4,South Australia,Chardonnay,,,Dry,$110.00 per bottle,2008,"Awards: 4 Trophies - National Wine Show (2) 2009, Royal Queensland Wine Show 2011, Royal Hobart Wine Show 2009",Ranked 1 of 30 Chardonnay from Adelaide Hills,,,
103,12.0% (2015),Gentleman's Agreement,Screw Cap,Australia,Clare Valley Riesling,$5.88 in any six,$35.28 per case of 6,Clare Valley,750mL,7.1 (2015),South Australia,Riesling,,,Dry,$5.88 per bottle,2015*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
104,10.0% (2013),Brown Brothers,Screw Cap,Australia,Orange Muscat & Flora,$9.40 in any six,$56.40 per case of 6,King Valley,750mL,5.9 (2013),Victoria,,,,Sweet,$9.90 per bottle,2013*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
105,13.50%,Penfolds,Cork,Australia,Yattarna Chardonnay 1998,$123.99 per bottle,,,750mL,8,South Australia,Chardonnay,,,Dry,,,,,Outstanding,,
106,,,,,Unknown,,,,,,,,,,,,,,,,,
107,,,,,Unknown,,,,,,,,,,,,,,,,,
108,13.00%,Grosset,Screw Cap,Australia,Polish Hill Riesling 2010,$84.99 per bottle,Ranked 5 of 46 Riesling from Clare Valley,Clare Valley,750mL,7.7,South Australia,Riesling,,,Dry,,2010,,,Exceptional,,
109,6.00%,Banrock Station,Screw Cap,Australia,Pink Moscato 275mL,$13.99 per pack of 4,$79.99 per case of 24,,275mL,3.6,South Australia,Moscato,,,Semi Sweet,$3.99 per bottle (in store),Non Vintage,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
110,,,,,Unknown,,,,,,,,,,,,,,,,,
111,10.50%,McWilliam's,Cork,Australia,Mount Pleasant Lovedale Semillon 1996,$79.99 per bottle,,Hunter Valley,750mL,6.2,New South Wales,Semillon,,,Dry,,1996,,,Outstanding,,
112,12.50%,Seppelt,Screw Cap,Australia,Jaluka Chardonnay 2008,$30.39 in any six,$182.34 per case of 6,,750mL,7.4,Victoria,Chardonnay,,,Dry,$31.99 per bottle,2008,Ranked 42 of 136 Chardonnay from Victoria,,,,
113,12.5% (2015),McGuigan,Screw Cap,Australia,Black Label Traminer Riesling,$3.88 in any six,$23.28 per case of 6,,750mL,7.4 (2015),,Traminer Riesling,,,Sweet,$3.88 per bottle,2015*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
114,13.50%,Tyrrell's,Cork,Australia,Vat 47 Chardonnay 2001,$59.99 per bottle,,Hunter Valley,750mL,8,New South Wales,Chardonnay,,,Dry,,,,,,,
115,10.50%,De Bortoli,Cork,Australia,Noble One Botrytis Semillon 1993 375mL,$54.99 per bottle,,Riverina,375mL,3.1,New South Wales,Semillon,,,Sweet,,,,,,,
116,,,,,Unknown,,,,,,,,,,,,,,,,,
117,10.30%,Tyrrell's,Cork,Australia,Vat 1 Semillon 2001,$139.70 in any six,$146.99 per bottle,Hunter Valley,750mL,6.1,New South Wales,Semillon,,,Dry,,2001,,,Outstanding,,
118,12.50%,Leo Buring,Screw Cap,Australia,Clare Valley Riesling 2007,$20.89 in any six,$125.34 per case of 6,Clare Valley,750mL,7.4,South Australia,Riesling,,,Dry,$21.99 per bottle,2007,,,,,
119,13.00%,Petaluma,Cork,Australia,Hanlin Hill Riesling 2005,$36.99 per bottle,Ranked 7 of 16 Riesling from Clare Valley,Clare Valley,750mL,7.7,South Australia,Riesling,,,Dry,,2005,,,Excellent,,
