,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Price Option 5,Organic,Vegan Friendly
81,14%,House of Plantagenet,Screw Cap,Australia,2015*,Lancaster Shiraz,$32.20 in any six,$193.20 per case of 6,$33.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.3,,Shiraz,,Dry,,,,
82,10.5%,Berri Estates,Cask Closure,Australia,Non Vintage*,Dolce Rosso Cask 5L,$15.99 per cask,$28.90 per case of 2,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,5L,41.0,South Australia,Red Blend,,Sweet,,,,
83,13.5%,Secret Selection,Screw Cap,Australia,,Pyrenees Shiraz 2015,Online Offer$16.90 per bottle,$30.90 in any six,$364.80 per case of 12,$31.99 per bottle,,Pyrenees,750mL,8,Victoria,,,,,,,
84,14.5%,Shaw & Smith,Screw Cap,Australia,2015*,Shiraz,$43.70 in any six,$262.20 per case of 6,$45.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Adelaide Hills,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
85,14.5%,Peter Lehmann,Screw Cap,Australia,2015*,Clancy's Shiraz Cabernet Merlot,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.6,South Australia,Shiraz Cabernet Merlot,,Dry,,,,
86,13%,Mount Langi Ghiran,Screw Cap,Australia,2016*,Billi Billi Shiraz,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Grampians,750mL,7.7,Victoria,Shiraz,Full Bodied,Dry,,,,
87,14.3%,Jacob's Creek,Screw Cap,Australia,2015*,Double Barrel Cabernet Sauvignon,$19.95 in any six,$119.70 per case of 6,$19.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Coonawarra,750mL,8.5,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
88,13.50%,Penfolds,Cork,Australia,1996,Bin 707 Cabernet Sauvignon 1996,$650.00 per bottle,,,,,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Exceptional,,,
89,13.5%,Tasmanian Hill,Screw Cap,Australia,2017*,Pinot Noir,$13.90 in any six,$83.40 per case of 6,$14.60 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.0,Tasmania,Pinot Noir,Light Bodied,Dry,,,,
90,14.3%,St Hugo,Screw Cap,Australia,2016*,Shiraz,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.5,South Australia,Shiraz,Full Bodied,Dry,,,,
91,14.50%,Elderton,Screw Cap,Australia,,Command Shiraz 2006,$119.99 per bottle,Ranked 22 of 120 Shiraz from Barossa Valley,,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
92,14.5%,Kalleske,Screw Cap,Australia,2017*,Moppa Shiraz,$26.60 in any six,$159.60 per case of 6,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 16 of 32 Shiraz from Barossa Valley,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,true,
93,14.5%,Bremerton,Screw Cap,Australia,2016*,Selkirk Shiraz,$17.90 in any six,$214.80 per case of 12,$18.80 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 33 of 118 Shiraz from Fleurieu,Langhorne Creek,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
94,9.50%,Sonata Estate,Cask Closure,Australia,Non Vintage,Soft Dry Red Cask 4L,$8.99 each,$17.10 per case of 2,,,,,4L,30,,Red Blend,,Dry,,,,
95,13.8%,Secret Selection,Screw Cap,Australia,2015,Yarra Valley Cabernet Blend 2015,Online Offer$29.90 per bottle,$52.30 in any six,$313.80 per case of 6,$54.99 per bottle,,Yarra Valley,750mL,8.2,Victoria,Cabernet Blend,,Dry,,,,
96,7%,Brown Brothers,Screw Cap,Australia,Non Vintage*,Sparkling Moscato Rosa 200mL,$19.99 per pack of 4,$99.99 per case of 24,$5.49 per bottle (in store),"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,200mL,1.1,,Moscato,Light Bodied,Semi Sweet,,,,
97,13.5% (2016),Farr Rising,Cork,Australia,2016*,Saignee,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 1 of 21 Pinot Noir from Geelong,Bannockburn,750mL,8.0 (2016),Victoria,,Light Bodied,Dry,,,,
98,14%,Paringa Estate,Screw Cap,Australia,2015*,Pinot Noir,$61.75 in any six,$741.00 per case of 12,$64.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 42 of 102 Pinot Noir from Mornington Peninsula,Mornington Peninsula,750mL,8.3,Victoria,Pinot Noir,Light Bodied,Dry,,,,
99,7.5%,Brown Brothers,Screw Cap,Australia,2017*,Cienna,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,4.4,Victoria,Cienna,,Sweet,,,,
100,15%,Bowen Estate,Cork,Australia,2016*,Shiraz,$29.99 per bottle,$341.88 per case of 12,$28.49 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 2 of 19 Shiraz from Coonawarra,Coonawarra,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,,
101,13.8%,Secret Selection,Screw Cap,Australia,2017,Barossa Valley Mataro 2017,Online Offer$19.90 per bottle,$33.30 in any six,$199.80 per case of 6,$34.99 per bottle,,Barossa Valley,750mL,8.2,South Australia,Mataro,,Dry,,,,
102,12.50%,Cullen,Screw Cap,Australia,,Diana Madeline 2016,$129.99 per bottle,$741.00 per case of 6,$123.50 in any six,Ranked 2 of 23 Cabernet Sauvignon from Margaret River,,Margaret River,750mL,,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,true,
103,13.5%,Lindeman's,Screw Cap,Australia,2017*,Gentleman's Collection Cabernet Sauvignon,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.0,,Cabernet Sauvignon,Full Bodied,Dry,,,,
104,13.0% (2015),Yalumba,Cask Closure,Australia,2015*,Premium Cabernet Sauvignon Cask 2L,$12.99 each,$74.40 per case of 6,,,,,2L,21.0 (2015),South Australia,Cabernet Sauvignon,,Dry,,,,true
105,14.5% (2016),Wirra Wirra,Screw Cap,Australia,2016*,Woodhenge Shiraz,$27.55 in any six,$165.30 per case of 6,$28.99 per bottle,Awards: 2017 Sélections Mondiales des Vins Canada Wine Competition - Gold Medal,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6 (2014),South Australia,Shiraz,Full Bodied,Dry,,,,
106,14.5%,Peter Lehmann,Screw Cap,Australia,2014*,Portrait Barossa Cabernet Sauvignon,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,Awards: Gold Medal - Mundus Vini Summer Tasting in Germany 2017,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,Ranked 9 of 21 Cabernet Sauvignon from Barossa Valley,,
107,14.5%,Secret Selection,Screw Cap,Australia,2017*,McLaren Vale Shiraz 2017,Delivery Offer$16.90 per bottle,$25.70 in any six,$154.20 per case of 6,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
108,14%,Jim Barry,Screw Cap,Australia,2016*,The Cover Drive Cabernet Sauvignon,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Clare Valley,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
109,13.5%,Cleanskin,Screw Cap,Australia,2018*,No 23 Heathcote Shiraz,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Heathcote,750mL,8,Victoria,Shiraz,Full Bodied,Dry,,,,
110,10.0% (2016),Kellermeister,Screw Cap,Australia,2016*,Alicante Bouchet Rosé,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur",,Barossa Valley,750mL,5.9 (2016),South Australia,Rosé,Light Bodied,Dry,,,,
111,14.5% (2013),Scotchmans Hill,Screw Cap,Australia,2013*,Shiraz,$30.39 in any six,$182.34 per case of 6,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 18 of 23 Shiraz from Geelong,Geelong,750mL,8.6 (2013),Victoria,Shiraz,Full Bodied,Dry,,,,
112,14%,Grant Burge,Screw Cap,Australia,2016*,Miamba Shiraz,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,
113,13.5%,Yalumba,Cask Closure,Australia,2018*,Premium Shiraz Cask 2L,$12.99 each,$74.40 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,2L,21.0,South Australia,Shiraz,,Dry,,,,true
114,14%,Reynella,Screw Cap,Australia,2010,Basket Pressed Shiraz 2010,$49.39 in any six,$293.25 per case of 6,$51.99 per bottle,"Awards: Decanter World Wine Awards, 2014: Commended 
International Wine Challenge, 2014: Bronze 
Decanter World Wine Awards, 2013: Silver 
International Wine & Spirit Competition, 2013: Silver 
San Francisco International Wine Competition, 2013: Bronze",,McLaren Vale,750mL,8.3,South Australia,Shiraz,,,,,,
115,14.50%,Penfolds,Cork,Australia,2001,Grange 2001,$750.00 per bottle,Ranked 16 of 54 Shiraz from South Australia,,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Exceptional,,,
116,14.50%,Penfolds,Cork,Australia,,Magill Estate Shiraz 2009,$149.99 per bottle,Ranked 3 of 21 Shiraz from Adelaide Hills,,,,Adelaide,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Excellent,,,
117,13%,Lindeman's,Screw Cap,Australia,2017*,Cawarra Cabernet Merlot,$5.15 in any six,$30.90 per case of 6,$5.40 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7,South Australia,Cabernet Merlot,Medium Bodied,Dry,,,,
118,12.5%,Gossips,Screw Cap,Australia,2018*,Cabernet Sauvignon,$4.30 in any six,$25.80 per case of 6,$4.49 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Riverina,750mL,7.4,New South Wales,Cabernet Sauvignon,Full Bodied,Dry,,,,
119,13.5%,Houghton,Screw Cap,Australia,2015*,Red Classic,$9.45 in any six,$56.70 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.0,Western Australia,Cabernet Shiraz Merlot,,Dry,,,,
