,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Region,Current Vintage,Price Option 1,Price Option 2,Price Option 3,Langtons Classified,Price Option 4,Price Option 5
105,12.5% (2010),Cockatoo Ridge,Screw Cap,Australia,Shiraz,$6.90 in any six,750mL,7.4 ( 2010),South Australia,Shiraz,Full Bodied,Dry,Barossa Valley,2010*,$41.40 per case of 6,$6.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
106,14.5% (2010),First Drop,Screw Cap,Australia,Saviour Shiraz,$19.90 in any six,750mL,8.6 (2010),South Australia,Shiraz,Full Bodied,Dry,Barossa Valley,2010*,$119.40 per case of 6,$19.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
107,14.50%,St Hugo,Cork,Australia,Cabernet Sauvignon 2005,$37.99 in any six,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,2005,$227.94 per case of 6,$39.99 per bottle,Ranked 12 of 34 Cabernet Sauvignon from Coonawarra,Excellent,,
108,15.00%,Summerfield,Cask Closure,Australia,Reserve Shiraz 2000,$56.99 in any six,750mL,8.9,Victoria,Shiraz,Full Bodied,Dry,Moonambel,,$683.88 per case of 12,$59.99 per bottle,,,,
109,14.50%,Rosemount,Screw Cap,Australia,Show Reserve Traditional 2006,$18.90 in any six,750mL,8.6,South Australia,Red Blend,,Dry,McLaren Vale,,$113.40 per case of 6,$19.90 per bottle,,,,
110,14.50%,Hardys,Cork,Australia,Thomas Hardy Cabernet Sauvignon 1993,$89.99 per bottle,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,1993,,,,,,
111,15.00%,Grant Burge,Cork,Australia,Filsell Shiraz 2006,$32.29 in any six,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,Barossa Valley,,$191.70 per case of 6,$33.99 per bottle,Ranked 13 of 120 Shiraz from Barossa Valley,,,
112,,,,,Unknown,,,,,,,,,,,,,,,
113,13.00%,Lindeman's,Cork,Australia,Coonawarra Trio St George Cabernet Sauvignon 1998,$56.95 in any six,750mL,7.7,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,1998,$338.35 per case of 6,$64.99 per bottle,,,,
114,14.00%,Lindeman's,Cork,Australia,Coonawarra Trio St George Cabernet Sauvignon 2000,$56.95 in any six,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,2000,$338.35 per case of 6,$59.99 per bottle,,,,
115,13.5% (2014),Willowbridge Estate,Screw Cap,Australia,Dragonfly Cabernet Merlot,$14.25 in any six,750mL,8.0 (2014),Western Australia,Cabernet Merlot,Medium Bodied,Dry,,2014*,$169.09 per case of 12,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 31 of 45 Cabernet Sauvignon from South West Australia,
116,14.00%,Metala,Cork,Australia,Black Label Original Plantings Shiraz 2002,$51.90 in any six,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Langhorne Creek,2002,$311.40 per case of 6,$51.90 per bottle,,,,
117,14.00%,Tatachilla,Cork,Australia,Foundation Shiraz 1998,$66.49 in any six,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,McLaren Vale,,$394.75 per case of 6,$69.99 per bottle,,,,
118,14.5% (2010),First Drop,Screw Cap,Australia,Saviour Shiraz,$19.90 in any six,750mL,8.6 (2010),South Australia,Shiraz,Full Bodied,Dry,Barossa Valley,2010*,$119.40 per case of 6,$19.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
119,13.5% (2005),Killara Park Estate,Screw Cap,Australia,Pinot Noir,$17.09 in any six,750mL,8.0 (2005),Victoria,Pinot Noir,Light Bodied,Dry,Yarra Valley,2005*,$202.95 per case of 12,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
